MotifId	Nodes	Edges	Count
6	3	2	63982513
12	3	2	31575707
14	3	3	26031984
36	3	2	86941546
38	3	3	3663971
46	3	4	938332
78	3	4	16115032
102	3	4	265325
98	3	3	151326
74	3	3	28499064
108	3	4	821740
110	3	5	270219
238	3	6	1542202
