NId,CommunityId
1,0
2,0
21,0
710,0
724,0
728,0
729,0
730,0
737,0
745,0
746,0
747,0
748,0
753,0
755,0
756,0
757,0
775,0
783,0
788,0
861,0
862,0
863,0
864,0
865,0
1081,0
1082,0
1083,0
1084,0
1085,0
1095,0
1096,0
1097,0
1098,0
1105,0
1106,0
1107,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1203,0
1210,0
1214,0
1394,0
1395,0
1396,0
1397,0
1399,0
1442,0
1443,0
1444,0
1445,0
1450,0
1468,0
1469,0
1470,0
1471,0
1472,0
1510,0
1511,0
1512,0
1532,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
2197,0
2265,0
2347,0
2663,0
2724,0
2725,0
2911,0
2913,0
2914,0
2915,0
2942,0
2943,0
3029,0
3030,0
3033,0
3034,0
3035,0
3036,0
3140,0
3141,0
3199,0
3227,0
3275,0
3649,0
3716,0
3884,0
4275,0
4298,0
4772,0
4839,0
5018,0
5029,0
5034,0
5049,0
5060,0
5064,0
5066,0
5070,0
5073,0
5078,0
5082,0
5096,0
5140,0
5262,0
5305,0
3626,0
874,0
3989,0
22,0
23,0
24,0
25,0
26,0
28,0
845,0
846,0
847,0
848,0
1040,0
1073,0
1711,0
2040,0
2208,0
3303,0
3312,0
3313,0
3315,0
3317,0
3743,0
4762,0
4766,0
5016,0
5030,0
5037,0
5041,0
5050,0
5056,0
5057,0
5058,0
3825,0
763,0
766,0
849,0
852,0
855,0
858,0
973,0
1261,0
1383,0
1488,0
1497,0
1515,0
1535,0
1712,0
1772,0
1867,0
2301,0
2354,0
2587,0
2881,0
2907,0
2918,0
3286,0
3291,0
3429,0
3430,0
3431,0
3651,0
3801,0
3945,0
4257,0
4276,0
5076,0
5083,0
5294,0
65,0
66,0
774,0
986,0
987,0
1011,0
1038,0
1039,0
1109,0
1111,0
1113,0
1115,0
1204,0
1206,0
1208,0
1212,0
1216,0
1289,0
1459,0
1467,0
1611,0
1623,0
1696,0
1697,0
2203,0
2254,0
2307,0
2662,0
2664,0
2820,0
2916,0
2965,0
2984,0
3129,0
3247,0
3611,0
3615,0
3712,0
3796,0
3797,0
3809,0
3810,0
3827,0
3835,0
3955,0
